"","Author","Year","Title","DOI","DTIC.link","SA.measure.type","Sample.size","Sample.size.stats","es.z","vi.z","SampleID","Outcome"
"1","Cummings and Guerlain",2007,"Developing Operator Capacity Estimates for Supervisory Control of Autonomous Vehicles","10.1518/001872007779598109",NA,"SPAM",42,42,0.462352964,0.025641026,"Cummings and Guerlain2007",1
"2","Cummings and Guerlain",2007,"Developing Operator Capacity Estimates for Supervisory Control of Autonomous Vehicles","10.1518/001872007779598109",NA,"SAGAT",42,42,0.149894307,0.025641026,"Cummings and Guerlain2007",2
"3","Durso",1998,"Situation Awareness As a Predictor of Performance in En Route Air Traffic Controllers.",NA,"http://www.dtic.mil/dtic/tr/fulltext/u2/a360807.pdf","SPAM",12,12,0.377523832,0.111111111,"Durso1998",3
"4","Durso",1998,"Situation Awareness As a Predictor of Performance in En Route Air Traffic Controllers.",NA,"http://www.dtic.mil/dtic/tr/fulltext/u2/a360807.pdf","SAGAT",12,12,0.393258256,0.111111111,"Durso1998",4
"5","Durso",2006,"Does Situation Awareness Add to the Validity of Cognitive Tests?","10.1518/001872006779166316",NA,"SPAM",88,77,0.142375643,0.013513514,"Durso 2006",5
"6","Durso",2006,"Does Situation Awareness Add to the Validity of Cognitive Tests?","10.1518/001872006779166316",NA,"SPAM",88,80,0.305840071,0.012987013,"Durso 2006",6
"7","Durso",2006,"Does Situation Awareness Add to the Validity of Cognitive Tests?","10.1518/001872006779166316",NA,"SPAM",88,72,0.416171689,0.014492754,"Durso 2006",7
"8","Durso",2006,"Does Situation Awareness Add to the Validity of Cognitive Tests?","10.1518/001872006779166316",NA,"SPAM",88,88,0.104965426,0.011764706,"Durso 2006",8
"9","Durso",2006,"Does Situation Awareness Add to the Validity of Cognitive Tests?","10.1518/001872006779166316",NA,"SPAM",88,88,0.007836386,0.011764706,"Durso 2006",9
"10","Durso",2006,"Does Situation Awareness Add to the Validity of Cognitive Tests?","10.1518/001872006779166316",NA,"SPAM",88,88,0.200145605,0.011764706,"Durso 2006",10
"11","Fracker",1991,"Measures of situation awareness: An experimental evaluation",NA,"https://apps.dtic.mil/dtic/tr/fulltext/u2/a262732.pdf","Other",32,32,0.298566264,0.034482759,"Fracker1991",11
"12","Fracker",1991,"Measures of situation awareness: An experimental evaluation",NA,"https://apps.dtic.mil/dtic/tr/fulltext/u2/a262732.pdf","Other",32,32,0.110446916,0.034482759,"Fracker1991",12
"13","Fracker",1991,"Measures of situation awareness: An experimental evaluation",NA,"https://apps.dtic.mil/dtic/tr/fulltext/u2/a262732.pdf","Other",32,32,-0.020002667,0.034482759,"Fracker1991",13
"14","Fracker",1991,"Measures of situation awareness: An experimental evaluation",NA,"https://apps.dtic.mil/dtic/tr/fulltext/u2/a262732.pdf","Other",32,32,0.100335348,0.034482759,"Fracker1991",14
"15","Fracker",1991,"Measures of situation awareness: An experimental evaluation",NA,"https://apps.dtic.mil/dtic/tr/fulltext/u2/a262732.pdf","Other",32,32,0.100335348,0.034482759,"Fracker1991",15
"16","Fracker",1991,"Measures of situation awareness: An experimental evaluation",NA,"https://apps.dtic.mil/dtic/tr/fulltext/u2/a262732.pdf","Other",32,32,0.202732554,0.034482759,"Fracker1991",16
"17","Gatsoulis et al.",2010,"On the measurement of situation awareness for effective human-robot interaction in teleoperated systems","10.1518/155534310X495591",NA,"Other",30,30,0.447692024,0.037037037,"Gatsoulis et al.2010",17
"18","Gatsoulis et al.",2010,"On the measurement of situation awareness for effective human-robot interaction in teleoperated systems","10.1518/155534310X495591",NA,"Other",30,30,0.472230804,0.037037037,"Gatsoulis et al.2010",18
"19","Gatsoulis et al.",2010,"On the measurement of situation awareness for effective human-robot interaction in teleoperated systems","10.1518/155534310X495591",NA,"SAGAT",30,30,0.497311288,0.037037037,"Gatsoulis et al.2010",19
"20","Gatsoulis et al.",2010,"On the measurement of situation awareness for effective human-robot interaction in teleoperated systems","10.1518/155534310X495591",NA,"Other",30,30,0.549306144,0.037037037,"Gatsoulis et al.2010",20
"21","Gatsoulis et al.",2010,"On the measurement of situation awareness for effective human-robot interaction in teleoperated systems","10.1518/155534310X495591",NA,"Other",30,30,0.576339755,0.037037037,"Gatsoulis et al.2010",21
"22","Hogan",2006,"Use of Human Patient Simulation and the Situation Awareness Global Assessment Technique in Practical Trauma Skills Assessment","10.1097/01.ta.0000238687.23622.89",NA,"SAGAT",16,16,1.115505787,0.076923077,"Hogan 2006",22
"23","Jipp",2016,"The impact of higher levels of automation on performance and situation awareness: A function of information-processing ability and working-memory capacity.","10.1177/1555343416637517",NA,"SAGAT",57,57,0.202732554,0.018518519,"Jipp2016",23
"24","Jipp",2016,"The impact of higher levels of automation on performance and situation awareness: A function of information-processing ability and working-memory capacity.","10.1177/1555343416637517",NA,"SAGAT",57,57,0.309519604,0.018518519,"Jipp2016",24
"25","Jipp",2016,"The impact of higher levels of automation on performance and situation awareness: A function of information-processing ability and working-memory capacity.","10.1177/1555343416637517",NA,"SAGAT",57,57,0.342828254,0.018518519,"Jipp2016",25
"26","Kaber",2004,"The effects of level of automation and adaptive automation on human performance, situation awareness and workload in a dynamic control task.","10.1080/1463922021000054335",NA,"SAGAT",24,24,0.487210954,0.047619048,"Kaber2004",26
"27","Kaber",2004,"The effects of level of automation and adaptive automation on human performance, situation awareness and workload in a dynamic control task.","10.1080/1463922021000054335",NA,"SAGAT",24,24,0.302606478,0.047619048,"Kaber2004",27
"28","Kaber",2004,"The effects of level of automation and adaptive automation on human performance, situation awareness and workload in a dynamic control task.","10.1080/1463922021000054335",NA,"SAGAT",24,24,-0.078211812,0.047619048,"Kaber2004",28
"29","Kaber",2004,"The effects of level of automation and adaptive automation on human performance, situation awareness and workload in a dynamic control task.","10.1080/1463922021000054335",NA,"SAGAT",24,24,0.26423604,0.047619048,"Kaber2004",29
"30","Kaber",2004,"The effects of level of automation and adaptive automation on human performance, situation awareness and workload in a dynamic control task.","10.1080/1463922021000054335",NA,"SAGAT",24,24,0.071164116,0.047619048,"Kaber2004",30
"31","Kaber",2004,"The effects of level of automation and adaptive automation on human performance, situation awareness and workload in a dynamic control task.","10.1080/1463922021000054335",NA,"SAGAT",24,24,0.187979323,0.047619048,"Kaber2004",31
"32","Kaber",2004,"The effects of level of automation and adaptive automation on human performance, situation awareness and workload in a dynamic control task.","10.1080/1463922021000054335",NA,"SAGAT",24,24,-0.230481415,0.047619048,"Kaber2004",32
"33","Kaber",2004,"The effects of level of automation and adaptive automation on human performance, situation awareness and workload in a dynamic control task.","10.1080/1463922021000054335",NA,"SAGAT",24,24,0.081506084,0.047619048,"Kaber2004",33
