id,study,effect_size_id,species,species_id,subphylum,phylum,assortment_trait,trait_dimensions,field_collection,publication_year,pooled_data,spatially_pooled,temporally_pooled,yi,ni,vi
Adams and Greenwood 1983 - Gammarus pulex,Adams and Greenwood 1983,1,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,1983,no,no,no,0.23,53,0.018867925
Adams et al. 1985a - Trapezia ferruginea,Adams et al. 1985a,2,Trapezia ferruginea,Trapezia_bidentata_ott787242,Crustacea,Arthropoda,carapace length,uni,yes,1985,yes,yes,no,0.57,23,0.043478261
Adams et al. 1985a - Trapezia ferruginea,Adams et al. 1985a,3,Trapezia ferruginea,Trapezia_bidentata_ott787242,Crustacea,Arthropoda,carapace width,uni,yes,1985,yes,yes,no,0.54,23,0.043478261
Adams et al. 1985a - Trapezia ferruginea,Adams et al. 1985a,4,Trapezia ferruginea,Trapezia_bidentata_ott787242,Crustacea,Arthropoda,cheliped length,uni,yes,1985,yes,yes,no,0.53,23,0.043478261
Adams et al. 1985b - Asellus aquaticus,Adams et al. 1985b,5,Asellus aquaticus,Asellus_aquaticus_ott335971,Crustacea,Arthropoda,weight,uni,yes,1985,no,no,no,0.85,12,0.083333333
Adams et al. 1985b - Asellus aquaticus,Adams et al. 1985b,6,Asellus aquaticus,Asellus_aquaticus_ott335971,Crustacea,Arthropoda,weight,uni,yes,1985,no,no,no,0.82,15,0.066666667
Adams et al. 1985b - Asellus aquaticus,Adams et al. 1985b,7,Asellus aquaticus,Asellus_aquaticus_ott335971,Crustacea,Arthropoda,weight,uni,yes,1985,no,no,no,0.75,17,0.058823529
Adams et al. 1985b - Asellus aquaticus,Adams et al. 1985b,8,Asellus aquaticus,Asellus_aquaticus_ott335971,Crustacea,Arthropoda,weight,uni,yes,1985,no,no,no,0.73,16,0.0625
Adams et al. 1985b - Asellus aquaticus,Adams et al. 1985b,9,Asellus aquaticus,Asellus_aquaticus_ott335971,Crustacea,Arthropoda,weight,uni,yes,1985,no,no,no,0.61,21,0.047619048
Adams et al. 1985b - Asellus aquaticus,Adams et al. 1985b,10,Asellus aquaticus,Asellus_aquaticus_ott335971,Crustacea,Arthropoda,weight,uni,yes,1985,no,no,no,0.52,11,0.090909091
